accolades,aging,alcohol,average_age_of_vines,cheese_pairing,country,density,description,dessert_pairing,fermentation_&_maceration,grape_varietal,harvest_method,legumes_pairing,meat_pairing,mouth_attribute,name,nose_attribute,others_pairing,pasta_pairing,price,producer,product_type,production_method,psata_pairing,region,seafood_pairing,sku,vintage,volume(ml),winemakers,acidity
,"After the harvest, the wine is aged for at least 38 months, out of which at least 18 months are spent in oak barrels. The wine can be reliased to the market four years after the harvest if its quality fits all requirements.",13.50%,20-25 years,Ideal with aged cheese,ITALY,"At least 3,500 vines per hectare.","Medium garnet with matching highlights. The nose demonstrates deep spices, licorice, red fruits, and caramel. The palate is full-bodied, robust, austere, and balanced.",,Fermentation takes place in stainless steel tanks at 26-30°C for about 2 weeks.,Nebbiolo,Manual. Harvesting is still accomplished by hand to keep the bunches whole and preserve the characteristics of the grapes,,Ideal with roasted meat,"Balanced, Full-bodied",RICOSSA 2019 - Barolo - Piedmont DOCG - Italy,"Spices, Liquorice, Red Fruits",,,76.0,Mondo Del Vino S.P.A.,Red Wine,"08 tons/hectar of grapes, 5,6 tons/hectar wine, 7,400-7,500 bottles/hectar finished.",,Piedmont,,IT182,2019,750,Stella Grasso,Medium Acidity
,The wine is partly aged in oak barrels as well as in concrete tanks for 12 to 18 months and filtered before bottling,14%,30 years,Pair with old cheeses,FRANCE,3500,"Dense ruby color with garnet-red shades. Expressive nose of black cherries with notes of barrel ageing; vanilla, spices. Rich and voluminous on the palate with a beautiful power and aromas of ripe cherries and redcurrant jam, finishing with polished tannins and a remarkable intensity.",,Fermentation at low temperatures for 20 to 30 days with several punch downs to enhance the skin-juice contact and develop the maximum amount of aromas.,"Grenache, Syrah",Handpicked,,"Pair with grilled meat, mature beef","Long Finish, Structured","DOMAINE BRUNELY  2022 - Grenache, Syrah - Châteauneuf-du-Pape, France ","Dark Fruit, Spices",,,78.0,Edouard CARICHON,Red Wine,35HL/HA,,Rhône Valley,,RH106,2022,750,Edouard CARICHON,Medium Acidity
James Suckling 93 Points,12-14 months in oak barrels,13.5%,26 years and more,Hard or dry cheeses.,FRANCE,"6,000/ha","This wine is made from fruit from our younger vines. It has red fruit, floral and spicy aromas, and subtle, elegant tannins that are ripe and tasty. It can be kept for 10 years or more, but is very expressive when young.",,"Gravity in the cellar, small stainless steel vats with temperature control. Cold maceration during 3 days, hand pushing. Once fermentation is completed, ageing in 50% new barrels and 50%of one year old barrel continues for at least 14 months.. Only one soutirage first week of the spring with the good moon. Terroir : Gravels, sandy limestones and limestones.","Cabernet Franc, Merlot",The fruit is picked by hand and carried in wooden crates. Pickers go down each row several times. The fruits is manipulated using gravity only and is vinified in small tanks. Temperatures are fully controlled.,,Roasted or grilled meats like lamb shank.,"Elegant, Medium-bodied","LES HAUTS DE CROIX DE LABRIE 2022 - Saint-Émilion Grand Cru, Bordeaux - France","Spices, Red Fruits",,,78.0,Chateau Croix de Labrie,Red Wine,34hl/ha,,"Bordeaux, Saint Emilion Grand Cru, Saint Emilion Grand Cru AOC Bordeaux",,BO242,2022,750,Axelle and Pierre Courdurie,Medium Acidity
,12-18 months in French and American oak barrels,15%,20-30 yrs,,ITALY,3.500-4.000/ha,"Nice ruby-crimson color with bright shades. The wine offers a stunning aromatic complexity. It exudes fragrances of small berries, with hints of mulberries and blackberries. All roundness, rich and deep, perfectly well-balanced, it reveals melted and classy tannins. The finish is silky and lingering, definitely a great wine.  Vintage in image may vary. Refer to wine facts for current vintage.",,Maceration with fermentation for around 20 days at a controlled temperature of 20/24°C,"Corvina, Corvinone, Molinara, Rondinella",Grapes selected and harvested by hand at the start of October in Plateaux,,"Pair with beef, lamb, game","Balanced, Complex, Full-bodied, Structured","CA' DE' ROCCHI ""La Bastia"" 2019 - Amarone Della Valpolicella - Veneto - Italy","Plum, Vanilla",,,79.0,Tinazzi,Red Wine,90-110 q/ha,,Veneto,,IT60,2019,750,Giuseppe Gallo,Medium Acidity
,12 months,14.5%,28 years,,FRANCE,8.500 VINES / HA,"Very expressive nose of morello cherry and brown tobacco, with sweet notes of liquorice candy and peony. A complex palate, expressing violet and fresh blackcurrant, nishing with hints of thyme and a touch of bitter orange zest that gives the nish a gourmet taste. It is a sensual and charming, yet restrained Saint-Estephe. Silky, smooth tannins give this Pez 2018 a precise and rened length.",,VINEYARD PLOTS VINIFICATION70% WOODEN VATS 30% CONICAL STAINLESS STEEL  30% CONICAL STAINLESS STEEL VATS WITH THERMOREGULATION 70% WOODEN VATS 30% CONICAL STAINLESS STEEL VATS WITH THERMOREGULATION,,,,"Pair with beef, lamb, poultry, game",,CHÂTEAU DE PEZ 2018 - Saint Estephe - Bordeaux - France,,,,79.0,,Red Wine,42 HA,,,,BO278-18,2018,750,Nicolas Glumineau,High Acidity
"Wine Enthusiast 91 Points, China Wine _ Spirits Awards Gold, Berliner Wein Trophy Gold",36 months,12.00%,30 - 50 years,Soft cheese.,FRANCE,"8,000  VINE/ HECTARE","This tasty Champagne is composed of 75% Pinot Noir and 25% Chardonnay. Issued from the Premier Cru villages, it has a beautiful bouquet with the nose as in the mouth. Yellow-gold and limpid, it has very fine bubbles of great finesse, characteristic of wines having a lot of elegance. On the nose, the wine displays peach and honey flavours followed by white flowers, butter and brioche notes. On the mouth, white flowers and developing citrus notes that bring freshness to this wine. This Premium Reserve Brut Premier Cru is the most eclectic of Charles Mignon range. It is particularly appreciated in aperitif, during receptions or still to accompany a meal.",,Pressed near to the parcel and fermented in thermo-regulated inox vats.,"Chardonnay, Pinot Noir",Hand picking,Mushroom risotto.,"Appetizers, delicate white meats, lightly spiced dishes.","Fine Bubbles, Fresh, Good Length","CHARLES MIGNON ""Premier Cru"" - Champagne - France","Buttery, Citrus, Sweet, White Fruit",,,82.0,Champagne Charles Mignon (Négociant Récoltant),Champagne & Sparkling,68hl/ha,,Champagne Premier Cru,"Crustaceans, fish, salmon pasta, lightly spiced dishes.",CH42,NV,750ml,Bruno Mignon,Medium Acidity
Aged in Oak Barrel 12 Months,12 months in French oak barrels : 30 % new barrels and 70 % second wine barrels,13.5%,30 years,Pair with cheese,FRANCE,8 800-10 000 feet/h,"Zede de Labegorce is the second wine of Chateau Labegorce Zede. The new grand Labegorce offers a lively fruit flavoured palette, extensive, rich, complex, smooth, lined with delicate tannins and great finesse.  Vintage in image may vary. Refer to wine facts for current vintage.",,"Wines are maceration and fermentation in traditional vats and then aged in oak barrels, of which 35% - new.","Cabernet Franc, Cabernet Sauvignon, Merlot",Manual harvest,Pair with mushroom risotto,Ideal with duck breast,"Medium-bodied, Structured","ZÉDÉ DE LABÉGORCE 2017 - Margaux, Bordeaux - France","Complex, Fresh, Fruity",,,82.0,S.C Château Labégorce  - 33460 Margaux,Red Wine,4 000 cases/year,,Bordeaux,,BO239,2017,750,,Medium Acidity
James Suckling 94 Points,The wine spends at least 30 months in 50 Hl Slavonian oak barrels. The wine rests in the bottle for at least 6 months.,13.5%,20 years,Enjoy with cheese,ITALY,,"Purple red in color wiht garnet hues. Intense fruity hints of blackberries, blackcurrants and cherries on the nose. Full-bodied and rich with a soft fruitiness that is congruous with aromas on the nose. Well-balanced with a good freshness.",,"Red vinification with maceration on the skins for 20-25 days, with frequent stirring at a controlled temperature of up to 24°C",,Hand-harvest,,"Enjoy with game, red meat",,DA VINCI I CAPOLAVORI SAN GIOVANNI BATTISTA 2018 - Brunello di Montalcino - Tuscany - Italy,,,,82.0,Leonardo da Vinci SpA,Red Wine,,,,,IT191,2018,750,Head winemaker: Riccardo Pucci,Medium Acidity
"Wine Enthusiast 94 Points, Robert Parker Wine Advocate 91 Points, James Suckling 93 Points",,13.5%,32 years old,,FRANCE,,"Chateau La Tour Carnet 2020 is a very deep, with a brilliant ruby red color. The first nose is very fruity with notes of ripe fruit, in particular blackcurrant and blackberry. This perception becomes more complex when stirred with vanilla notes that underline the fruity perception. On the palate, we quickly notice the silky and the finesse of the tannins which give a very elegant density and good balance. The evolution is powerful but controlled until the long and smooth finish.",,,,"Harvest dates : Merlot : from 21st to 29th September 2020, Cabernet : from 29th September au 2nd October 2020.",,,,CHÂTEAU LA TOUR CARNET 2020 - Haut Médoc - Bordeaux - France,,,,85.0,,Red Wine,"Winemaking : - Primary sorting on the vine, - Manual sorting on a vibrating table before and after destemming, using a Pellenc WINERY, - Optical sorting, - The grapes are cooled in a cryogenic tunnel (by spraying liquid nitrogen), - Gravity-fed into tanks through a wide tank funnel, - Small cement and wooden tanks, - Cold pre-ferment maceration (8°C), - Fully manual crushing, - Low-temperature alcoholic fermentation (28°C), - Maceration from 25 to 32 days, - Maturing in oak for 16 months, with 30% new oak.",,,,BO270-20,2020,750,,Medium Acidity
,"Partial aging on fine lees, aging 18 months in French oak barrels (50% new)",14.5%,37,,FRANCE,"Planting density: 6,500 vines per hectare",,,"Putting in wood, stainless steel and concrete vats of small capacity (70hl), by gravity. Pre-fermentation maceration for 4 to 8 days at 8°C. Entirely manual pigeages.  Duration of maceration: Merlot from 28 to 32 days, Cabernets from 26 to 28 days.",,Hand harvest,,,,"CHÂTEAU FOMBRAUGE 2019 - Saint-Émilion Grand Cru - Bordeaux, France (Grand Cru Classé)",,,,85.0,Château Fombrauge,Red Wine,"Winemaking: - Parcel selection per terroir, grape variety and age of the vines - Selection inside the parcels thanks to relevant information on maturity and vine strength provided by the drone - Harvest in small crates - Sorting on a table before and after destemming by 20 qualified people - Vatting in small capacity wooden tanks (70 hectoliters) by gravity flow - Pre-fermentation maceration for 4-8 days at 8°C - Manual punching down - Maceration for 28-32 days for the Merlot, 26-28 days for the Carbernet - Aging for 16 months in 40% new oak barrels, 60% one year-old barrels.",,,,BO268-19,2019,750,,Medium Acidity
"Wine Enthusiast 93 Points, James Suckling 90 Points",French oak barrels,14%,32 years old,Pair with cheese,FRANCE,6000 plants/hectare,"Very rich dark berries and plums with an attractive and deep, fresh-fruit edge. The palate has a very smooth, fresh and sweetly fruited core with ripe, plush and approachable tannins. A blend of 81 per cent merlot, 13 per cent cabernet franc and six per cent petit verdot. Try from 2020."" James Suckling  Vintage in image may vary. Refer to wine facts for current vintage.",,"Traditional vinification in thermoregulated stainless steel tanks with a cold maceration prior fermentation, careful extration with gentle pumping overs, Fermentation of 20 to 30 days followed by a malolactic fermentation in tanks",,Hand Picked,,Pair with red meats.,Medium-bodied,"CHÂTEAU YON FIGEAC - Saint-Émilion Grand Cru Classé, Bordeaux - France","Red Berries, Spices, Plum, Black Berries",,,85.0,Château Yon Figeac 33330 St Emilion,Red Wine,85 000 bottles (May 2017),,Bordeaux,,BO256,2016,750,Château Yon Figeac 33330 St Emilion,Medium Acidity
,4 years on the lees,12.00%,30 years,,FRANCE,"9,000 kg/ ha","Intense golden colour. Fine string of bubbles. Thanks to a wine with 10 years of age. Elegant and rich bouquet. Complex, ripe fruit nose (figs and apricots) with hints of confectionery aromas (brioche, cocoa beans, vanilla). Structured and still fresh on the palate. Nuts and candied fruit flavours, with a very long and pleasant finish. Once opened for a while, complex tertiary aromas are evolving in the glass. With notes of Tobacco, warm brioche and whipped cream. A surprising and complex Champagne wine for Vintage lover, thanks to chardonnay grapes with slighly lower acidity than usual.",,Fermentation and maceration in stainless steel vats,"Chardonnay, Pinot Noir",Hand-harvest,,Chef's suggestion: Foie Gras on toast and jam candied figs,"Balanced, Fruity","ERNEST RAPENEAU ""Cuvée Speciale Vintage"" 2016 - Champagne - France","Citrus, Fresh, White Fruit",,,88.0,CHAMPAGNE GH MARTEL&CO,Champagne & Sparkling,800000 (for the brand),,Champagne,Chef's suggestion: Fresh scallops with Balsamic reduction lightly pan-fried.,CH30-16,2016,750ml,Christophe Rapeneau,Medium Acidity
James Suckling 91 Points,16 months of barrels (20-25% new),13%,28,,FRANCE,6300 to 7100 vine / hectare,"2nd Label of Château Nénin  This second wine is the expression typical of the charm of Pomerol. Fugue is a reference to the musical universe; it is a repetition of the main theme. This interpretation makes sense at the tasting, so much Fugue agrees with the tones of its elder while offering an entertaining and seductive expression.",,,,"Harvest period from 17th September to 8th October 2019. This is a vintage of ""terroir"", for which we favoured a very thorough intraparcel approach right up to the harvest.",,"Pair with beef, lamb, game and poultry",,"CHÂTEAU NÉNIN ""Fugue de Nénin"" 2021 - Pomerol, Bordeaux - France",,,,89.0,Delon family,Red Wine,,,,,BO265-21,2021,750,Eric Boissenot,Medium Acidity
"International Wine Challenge Silver, International Wine and Spirit - Silver",12 months minimum,12%,25 years,,FRANCE,5500 to 6500,"Pale gold in colour, limpid and brilliant with golden reflections. The first nose is pleasantly fruity with exotic notes (pineapple), some woody notes then appear after oxygenation. The whole has great elegance. A lively attack on the palate with plenty of energy. We find these fruity, tangy aromas (pineapple, lemon) which are accompanied by a few toasted, grilled notes on the finish. Fine density and length. A fine Chablis 1er cru with great future potential. Food and wine pairings: Aperitif, plancha prawns or scallops, sushi.",,Cold static sedimentation precedes the start of fermentation. Alcoholic and malolactic fermentation both take place in barrels and vats.,Chardonnay,Harvest by hand,,,,"LA CHABLISIENNE ""VAULORENT"" 2020 - Chardonnay - Chablis Premier Cru, Burgundy - France",,,,90.0,La Chablisienne,White Wine,30 000 bottles for vintage 2020,,"Burgundy, Chablis",Pair with plancha prawns or scallops,BU134,2020,750,Vincent Bartement,Medium Acidity
,"Each clone sat on lees (yeast solids) for ten months remaining separate before being blended and bottled; blended with minimal fining and filtration,  bottled in February 2023",12.5%,MARGARET RIVER: 25 years,,AUSTRALIA,"3.5 x 1.5 m; 2,090 vines per hectare","This wine displays notes of citrus (lemon curd tart), stone fruits (white peach and yellow nectarine), with mineral notes of granite against toasted brioche and malted oats. The palate has a delicate and creamy characteristics, with nutty notes (almond, cashew) and great length on the palate. The meyer lemon and green lime can be tasted on the palate too. lemon citrus wet granite, mineral, lemon curd tart, toasted brioche, malted oats, cream, vanilla pod, touch of anise, white peach, yellow nectarine, raw cashew, hint of basil leaf, curry leaf.",,"Whole bunch pressed cold, wild yeast barrel fermented, each clone was fermented separately in French barriques (228L) and hogsheads (300L) (35% new, balance 2 yrs old)",,Hand picked,,,,DUKE'S VINEYARD 2022 - Chardonnay - Margaret River - Australia,,,,90.0,Duke's Vineyard,White Wine,"3,156 bottles",,,,XAU200,2022,750,Ben Cane,Medium Acidity
,"6 months in small oak barrels, followed by stainless steel and bottle aging",15.5%,50 years,,ITALY,2000-4000 vines per hectar,"Intense garnet-red colour. Round and perfumed bouquet with seasoned oak notes and cherry hints. Sweet up-front and juicy, velvety and spicy flavours dusted with cocoa to finish.  Vintage in image may vary. Refer to wine facts for current vintage.",,Maceration with the skins for around 30 days. At the end of the process the fermentation is in stainless steel tanks for around 30 days,"Corvina, Corvinone, Molinara, Rondinella",manual,,It pairs excellently with red meat and game.,"Full-bodied, Silky Tannin",AMARONE BISCARDO 2019 - Amarone Della Valpolicella Classico - Veneto - Italy,"Dark Fruit, Powerful, Red Berries, Spices",,,90.0,Biscardo Family,Red Wine,,,"Valpolicella, Veneto",,IT144,2019,,Maurizio and Martino Biscardo,Medium Acidity
"Jancis Robinson 16 Points, Decanter 92 Points, Concours International de Lyon Gold","Aged in the obscurity of our traditional cellars, at a constant temperature of 12°C for 24 to 36 months.",12.0%,30 - 50 years,,FRANCE,10 000 Vine/ Hectare,"Rose petal pink in colour, with persistent mousse and a chain of fine bubbles. Fresh and generous nose with intensely complex aromas of red fruit, wild cherry, wild strawberry and raspberry. The generosity of Pinot Noir and the freshness of Chardonnay create perfect balance and aromas of delicate red fruit. A finish of superb persistence and softness.","Red berry pie, chocolate pie with red fruits, fresh fruit.","Pressed near to the parcels and fermented in small thermo-regulated stainless-steel vats. A work of precision, to preserve primary aromas and the imprint of the terroir. A combination of «vin clair» and red wine from the prestigious Grand Cru village of Bouzy produces a blended rose of great quality. Moderately dosed at 8 g/l to preserve all its freshness, fruit and balance.","Chardonnay, Pinot Noir",Hand picking,,,"Balanced, Fine Bubbles, Fresh, Fruity, Rich, Good Length","CHARLES MIGNON ""Premium Reserve"" - Champagne Brut Rosé Premier Cru - France","Fruity, Red Berries, Plum",,,92.0,Champagne Charles Mignon (Négociant Récoltant),Champagne & Sparkling,,,Champagne,"Mixed seafood, fish, smoked salmon.",CH46,NV,750ml,Bruno MIGNON,Medium Acidity
,"18 months oak aging.  17 months aging of the Syrah in 275-litre Laurus barrels (mix of one, two and three-year old barrels).",15.5%,40 to 80 years,,FRANCE,,"The 2016 Châteauneuf du Pape Laurus offers an alluring smoldering edge, with singed alder, tobacco and mocha notes working together to augment the core of steeped black currant and black cherry fruit. A licorice root echo runs through the finish, imparting an extra twinge of grip."" - Wine Spectator, March 2019.",,Entirely manual harvest. Grapes are de-stemmed and crushed. 3 weeks maceration period with regular punch-downs and rack & return (délestage) operations.,"Grenache, Syrah",Manual,,"Pair with Duck confit, game meat, Lamb marinated with cep (porcini) mushrooms, Loin of veal à la provençale. Try Pigeon with truffle from the Mont Ventoux & stuffed ceps.","Complex, Elegant, Full-bodied, Long Finish, Oaky, Rich, Tannic","LAURUS 2017 -  Châteauneuf-du-Pape, Rhône Valley - France","Chocolate, Dark Fruit, Spices, Liquorice, Tobacco, Black Berries",,,96.0,Gabriel MEFFRE,Red Wine,,,Rhône Valley,,RH34,2017,750,Veronique Torcolacci,Medium Acidity
,36 months in big Slavonian Oak and refining in bottle,14.5%,Approx. 32 years old. The vines were planted in 1990 and the total area measures approximately 0.81 hectares.,"Pair with ripe, mature cheeses",ITALY,3800,"A complex blend of spice, dried flowers and underbrush aromas, and a sensation of exotic spices. Excellent concentration of sweet, fine tannins that envelope the palate without harshness. The length and persistence of flavour typical of a great wine.",,"Fermentation in stainless steel at a controlled temperature; maceration on the skins, with daily pumping of the must over the cap.",,Manual,,Pair with roast meat,,"COSTA DI BUSSIA 2017 - Barolo Riserva DOCG, Piedmont - Italy",Spices,,,96.0,Costa di Bussia,Red Wine,80 quintals,,,,IT190,2017,750,Marco Marsili,Medium Acidity
,20 months American Oak,13.5%,25 years,,SPAIN,5.8 tons/há,"Clean, vibrant ruby red. Varietal character with plenty of red fruits and compote with sweet spice and balsamic notes. After a powerful attack the sensation of soft, supple volume gradually extends across the palate for a creamy finish. In the aftertaste you are again reminded of the red-berry fruit mingled with hints of wild herbs.  Vintage in image may vary. Refer to wine facts for current vintage.",,"Further to their manual harvesting, the grapes arrived to the winery in perfect conditions, being destemmed before passing to the stainless steel fermentation vats. The fermentation was made at controlled temperatures around 29-30 ºC, with daily remontages and tasting of the musts. After an additional one week maceration, based on sensoric analisys, main guideline of our elaborations, we found the optimum balance between good colour and structure extraction and the roundness and friendliness of the tannins.","Graciano, Tempranillo",By hand,,"Great wine for Sunday roast, stews, goose or turkey.",Medium-bodied,"BARON DE LEY ""Reserva"" 2019 - Rioja - Spain - ""Magnum","Spices, Red Fruits",,,98.0,BARON DE LEY,Red Wine,,,Rioja,,SP42M,2018,,Gonzalo Rodríguez,Medium Acidity
"Jeb Dunnuck 90 Points, James Suckling 93 Points, Decanter 91 Points","In French oak Bordeaux barrels, 50% soft toast new barrels, 50% single-wine barrels, approx. 12 months",15%,30 years old,Will fit perfectly with your matured regional cheeses.,FRANCE,"6,666 vines per hectare","Clos Beauregard 2016 is characterized by a ruby color, very strong and brilliant with violet nuances. On the nose, this wine is fruity-spicy and complex with aromas of cherries and cocoa. On the palate, the wine is full-bodied, balanced and persistent with notes of cherry jam and mocha. Will fit perfectly with your game, grilled poultry or braised beef pieces.  Vintage in image may vary. Refer to wine facts for current vintage.",,"Punching down, integrated maceration in small vats, micro-oxygenation between fermentations",Merlot,Manual harvesting,,"Will fit perfectly with your game, lamb, beef, grilled poultry, braised beef stews.","Full-bodied, Long Finish","CLOS BEAUREGARD 2021 - Pomerol, Bordeaux - France","Herbal, Black Berries, Red Fruits",,,98.0,Société Fermière des Grands Crus de France,Red Wine,49 hecto litres per hectare,,Bordeaux,,BO257,2021,750,Vincent Cachau,Medium Acidity
,,13.5%,,,FRANCE,,"Made to the same rigorous standards as the First Wine, from grapes grown in the same vineyard, La Dame de Montrose is the estate’s second label. Supple and silky Merlot generally predominates in the varietal mix. Its very pronounced red fruit aromas and flavors reflect another expression of the terroir in a distinctive style which is less elaborately complex than that of the First Wine.",,,,,,,,LA DAME DE MONTROSE -2020  Saint Estephe - Bordeaux - France,,,,99.0,,Red Wine,,,,,BO273-20,2020,750,,Medium Acidity
"Wine Spectator 93 Points, Robert Parker Wine Advocate 93 Points, James Suckling 94 Points","Barrique aging for 15 months, of which 12 months of varietal aging before blending. An additional 6 months bottle aging.",14.5%,,,ITALY,"Average 6,900 per ha",,,"Each variety and each parcel of land was vinified separately. The alcoholic fermentation took place partly in stainless steel tanks and partly in concrete vats at temperatures between 22-28°C for two weeks, followed by maceration for a total of about 10-15 days.","Cabernet Franc, Cabernet Sauvignon, Merlot, Petit Verdot",Handpicked,,,,"LE SERRE NUOVE DELL'ORNELLAIA 2021- Bolgheri DOC Rosso - Tuscany, Italy",,,,99.0,,Red Wine,,,Tuscany,,IT218-21,2021,750,Olga Fusari,Medium Acidity
James Suckling 91 Points,,13.5%,,Pair with hard cheese,FRANCE,,"2nd Wine of Fifth Classified Growth, Château Clerc-Milon  Discreet and elegant nose which opens up with airing to reveal succulent aromas of brandied morello cherries mingled with peppery, minty notes. From a substantial and powerful attack, the mid-palate reveals a close-knit, creamy texture set off by well-integrated, structured tannins. The succulence hinted at on the nose is expressed in black fruit and mocha notes, leading into an opulent finish which underlines the wine’s complexity.",,Each grape varietal is fermented separately,"Cabernet Sauvignon, Merlot",,,"Pair with grilled beef, lamb shank, charcuterie",,"PASTOURELLE DE CLERC MILON 2016 - Pauillac - Bordeaux, France",,,,99.0,Château Clerc Milon,Red Wine,Traditional,,Bordeaux,,BO293-16,2016,750,"Frédéric Faure, Jean-Emmanuel Danjoy",Medium Acidity
"Jeb Dunnuck 90 Points, James Suckling 92 Points",12 months oak aging in 2nd use oak barrels,13.5%,,,FRANCE,,"Beautiful dark and deep color. The nose is already very present and powerful, with notes of ripe and fresh fruits such as burnt cherry and pomegranate. In mouth, the attack is ample with a beautiful intensity. A wine of a beautiful power while remaining very greedy and round. The fresh woody taste, well blended, expresses itself on notes of praline pastry. The finish is long and expresses all its potential with a lot of brightness.",,In stainless steel & concrete tanks,"Cabernet Sauvignon, Merlot",Machine,,,,MOULIN DE DUHART 2020 - Pauillac - Bordeaux - France,,,,99.0,Château Duhart-Milon,Red Wine,,,Bordeaux,,BO295-20,2020,750,,Medium Acidity
"Wine Spectator 90 Points, Decanter World Wine Awards Bronze",36 months,12%,20,Soft cheese.,FRANCE,,"Intense and nice straw colour, fine bubbles, persistent mousse. Floral notes (white flowers), fresh lime and exotic fruits. This wine is fresh and frank with hints of warm biscuit and nuts aromas.",,Yes,"Chardonnay, Pinot Meunier, Pinot Noir",Hand harvest,,"Appetizers, cold cuts, tapas.","Crisp, Fine Bubbles, Fresh, Medium-bodied, Rich","ERNEST RAPENEAU ""Selection Brut"" - Champagne - France - ""Magnum","Floral, Fruity, Nutty, Tropical Fruit",,,99.9,Champagne GH MARTEL&CO,Champagne & Sparkling,,,Champagne,"Oysters, seafood, shellfish.",CH39,NV,1500ml,Mr. Christophe RAPENEAU,Medium Acidity
,14 months in French oak barrels,12.0%,50 yrs old,,FRANCE,9100 vines/ha,"Nice ruby-crimson color with bright shades. The wine offers a stunning aromatic complexity. It exudes fragrances of small berries, with hints of mulberries and blackberries. All roundness, rich and deep, perfectly well-balanced, it reveals melted and classy tannins. The finish is silky and lingering, definitely a great wine.  Vintage in image may vary. Refer to wine facts for current vintage.",,Yes,"Cabernet Sauvignon, Merlot",Manual,,"Pair with beef, lamb and game","Long Finish, Medium-bodied, Rich, Silky Tannin","CHÂTEAU PEYREDON LAGRAVETTE ""Magnum"" 2020 - Haut Medoc Cru Bourgeois, Bordeaux - France",Black Berries,,,100.0,Chateau Peyredon Lagravette Cru Bourgeois,Red Wine,13800,,Bordeaux,,BO46M,2020,1500 mL,"Stephane Dupuch, Hubert de Bouard",Medium Acidity
,,16%,,,JAPAN,,,,,,,,,,"HOUOUBIDEN ""Akaban"" - Junmai Daiginjo Sake - Japan",,,,105.0,,Sake,,,,,XJP03,,720,Kobayashi Sake Brewery,Medium Acidity
"Wine Spectator 91 Points, James Suckling 91 Points",20 months,13%,35 YEARS,,FRANCE,9000.00 PIEDS/HA,"A complex nose with lots of present aromas. Intense floral notes of rose and violet as well as wild basil and rosemary. A lovely complex, savory, rounded palate. Flavours of strawberry, morello cherry and white tobacco. Fine and well-tuned, long and unctuous; well-structured, well-balanced and intense.",,,"Cabernet Sauvignon, Merlot, Petit Verdot",,,"Pair with beef, lamb, game and poultry","Complex, Long Finish, Smooth",RESERVE DE LA COMTESSE 2021 - Pauillac - Bordeaux - France,Floral,,,109.0,CHÂTEAU PICHON LONGUEVILLE COMTESSE DE LALANDE,Red Wine,78 HA,,Bordeaux,,BO277-21,2021,750,Nicolas Glumineau,Medium Acidity
,12-18 months,13.0%,30-60 years on average,"Traditional Burgundy cheeses like Epoisses or even blue-veined cheeses such as Roquefort, Fourme d'Ambert. Gorgonzola.",FRANCE,10.000 vines/ hectare,"A golden and shiny colour. A beautiful aromatic expression with fresh white & yellow fruit, brioche notes and a delicate hints of wood. The mouth is ample, voluminous, round with superb balance. Meursault wines are silky, fresh and elegant on the finish. The vineyard is located in a village in the Côte de Beaune, known for producing great white wines.  Vintage in image may vary. Refer to wine facts for current vintage.",,Fermented in oak barrels. Aged â€˜â€™sur liesâ€™â€™. Bottled December 2015.,Chardonnay,Hand-picked,,,,"DOMAINE DU CHÂTEAU PHILIPPE LE HARDI 2021 - Meursault, Burgundy - France","Citrus, Fruity, Nutty, Toasted",,,110.0,Terroirs et Chateaux de Bourgogne,White Wine,Traditional. Moderate pneumatic pressing. Static settlings for 12 hours.,,Burgundy,"Pair with fish, shellfish, lobster, chicken, creamy sauces.",BU105,2021,750ml,Terroirs et Chateaux,Medium Acidity
"Wine Spectator 90 Points, Decanter 93 Points",Lee aging for 6 to 9 months,,,,FRANCE,,"The dress has a beautiful pale yellow color, very bright. The nose is clean and lively, with a very developed aromatic expression. It releases aromas peach and quince, mixed with notes of exotic fruits. We also find a hint of minerality revealing the gravel of the vineyard. The palate is fresh and aromatic with controlled fat and a very nice balance. The lingering finish offers great complexity.",,Vilification in oak barrels,"Sauvignon Blanc, Semillon",Manual,,,,CHÂTEAU TRONQUOY LALANDE BORDEAUX BLANC 2019 - Bordeaux - France,,,,110.0,Chateau Tronquoy Lalande,White Wine,,,Bordeaux,,BO304,2019,750,,Medium Acidity
,"24 months in French oak barrels, 50% new",14.5%,30 years,Pair with mature and hard cheese,USA,,"Oakville Winery Cabernet exemplifies the oldworld elegance of the Oakville AVA, with aromas of blackberry and raspberry along with subtle notes of rose petal, cedar and cassis. On the palate, mouthwatering layers of black cherry and blackberry are rounded out with sweet notes of toffee, vanilla cream and cocoa. The smooth, refined tannins create a luxurious texture that lead to a beautiful lengthy finish synonymous with world class cabernet.",,Normal,Cabernet Sauvignon,Manual and Machine,,"Pair with beef, lamb, poultry, game","Floral, Silky Tannin",OAKVILLE 2021 - Cabernet Sauvignon - Napa Valley - USA,Black Berries,,,110.0,Oakville Winery,Red Wine,Organically farmed. Estate-grown and produced,,California,,US21,2021,750,Lynn Watanabe,Medium Acidity
